,key,year,value
651,Kuwait,1800,1242.0
652,Kuwait,1850,1498.0
653,Kuwait,1900,2492.0
654,Kuwait,1950,9308.0
655,Kuwait,2000,54985.0
656,Kuwait,2023,49884.0
657,Kuwait,2050,80952.0
658,Kyrgyz Republic,1800,575.0
659,Kyrgyz Republic,1850,751.0
660,Kyrgyz Republic,1900,1164.0
661,Kyrgyz Republic,1950,3078.0
662,Kyrgyz Republic,2000,3079.0
663,Kyrgyz Republic,2023,4867.0
664,Kyrgyz Republic,2050,8509.0
665,Lao,1800,978.0
666,Lao,1850,1054.0
667,Lao,1900,1188.0
668,Lao,1950,810.0
669,Lao,2000,2861.0
670,Lao,2023,8096.0
671,Lao,2050,15265.0
672,Latvia,1800,850.0
673,Latvia,1850,1056.0
674,Latvia,1900,1835.0
675,Latvia,1950,4919.0
676,Latvia,2000,12992.0
677,Latvia,2023,32880.0
678,Latvia,2050,64999.0
679,Lebanon,1800,1239.0
680,Lebanon,1850,1540.0
681,Lebanon,1900,2364.0
682,Lebanon,1950,4501.0
683,Lebanon,2000,14362.0
684,Lebanon,2023,9666.0
685,Lebanon,2050,10782.0
686,Lesotho,1800,398.0
687,Lesotho,1850,409.0
688,Lesotho,1900,421.0
689,Lesotho,1950,440.0
690,Lesotho,2000,1685.0
691,Lesotho,2023,2489.0
692,Lesotho,2050,3607.0
693,Liberia,1800,902.0
694,Liberia,1850,980.0
695,Liberia,1900,1122.0
696,Liberia,1950,1497.0
697,Liberia,2000,1753.0
698,Liberia,2023,1485.0
699,Liberia,2050,2849.0
700,Libya,1800,1189.0
701,Libya,1850,1722.0
702,Libya,1900,2796.0
703,Libya,1950,3369.0
704,Libya,2000,16746.0
705,Libya,2023,17593.0
706,Libya,2050,32703.0
707,Lithuania,1800,1438.0
708,Lithuania,1850,1788.0
709,Lithuania,1900,3103.0
710,Lithuania,1950,7200.0
711,Lithuania,2000,13847.0
712,Lithuania,2023,40763.0
713,Lithuania,2050,75434.0
