date,GPRD_MA30,GPRD_MA7,GPRD
2021-04-25,87.69905,112.98752,16.60435
2021-04-26,88.13702,104.99435,54.46674
2021-04-27,90.00449,105.90694,131.65334
2021-04-28,87.56544,89.30143,50.064
2021-04-29,85.96411,79.81717,47.38393
2021-04-30,84.63264,64.05583,36.40184
2021-05-01,84.24577,56.09478,56.08929
2021-05-02,83.70779,60.80339,49.5646
2021-05-03,83.89475,66.94078,97.42846
2021-05-04,86.24277,61.54436,93.87843
2021-05-05,85.7703,63.01884,60.38535
2021-05-06,85.22086,67.15054,76.30576
2021-05-07,83.29206,69.93977,55.92646
2021-05-08,82.32686,62.4364,3.56573
2021-05-09,81.00402,56.54475,8.32303
2021-05-10,81.55596,49.62675,49.00248
2021-05-11,83.30085,50.66993,101.18069
2021-05-12,82.06474,51.08595,63.29747
2021-05-13,83.5694,60.24699,140.43304
2021-05-14,81.20472,68.73793,115.36304
2021-05-15,80.70579,80.84161,88.29153
2021-05-16,79.18198,86.69813,49.31863
2021-05-17,78.87375,92.8632,92.15798
2021-05-18,80.33276,92.49286,98.58833
2021-05-19,81.95087,106.15926,158.96223
2021-05-20,81.97038,104.07605,125.8506
2021-05-21,81.95538,111.28883,165.85251
2021-05-22,80.43491,108.41287,68.15983
2021-05-23,77.74127,110.78474,65.92175
2021-05-24,78.62766,117.39191,138.40813
2021-05-25,83.77222,127.72807,170.94144
2021-05-26,87.84376,130.24959,176.61284
2021-05-27,87.89985,131.31894,133.33606
2021-05-28,90.89869,127.62991,140.02928
2021-05-29,91.28661,126.32439,59.02125
2021-05-30,91.11001,121.35042,31.10392
2021-05-31,91.15884,109.79987,57.55426
2021-06-01,91.70251,94.79036,65.87492
2021-06-02,90.74575,79.37788,68.72547
2021-06-03,89.61888,68.91165,60.07247
2021-06-04,90.25963,60.28001,79.60777
2021-06-05,89.09922,57.77605,41.49354
2021-06-06,88.81242,60.09298,47.3224
2021-06-07,90.50371,59.62871,54.30439
2021-06-08,92.21719,58.75048,59.72729
2021-06-09,93.69208,62.25387,93.24922
2021-06-10,93.16988,65.88847,85.51466
2021-06-11,95.44279,73.29946,131.48476
2021-06-12,92.33269,74.10468,47.13003
2021-06-13,90.4391,75.7094,58.55549
2021-06-14,88.47465,72.14565,29.35806
2021-06-15,89.28104,74.11468,73.51052
2021-06-16,91.03537,81.47732,144.78772
2021-06-17,92.34988,88.97861,138.02365
2021-06-18,89.86795,82.26711,84.50428
2021-06-19,87.08103,81.56898,42.24316
2021-06-20,84.70744,86.72459,94.64479
2021-06-21,85.58554,96.03098,94.50268
2021-06-22,89.07496,109.90152,170.60434
2021-06-23,85.84505,95.14768,41.51087
2021-06-24,82.70238,86.38161,76.66113
2021-06-25,78.64155,82.13643,54.78801
2021-06-26,75.04546,79.73788,25.45332
2021-06-27,70.66022,67.42748,8.47204
2021-06-28,71.93591,67.82599,97.2922
2021-06-29,74.08865,57.12341,95.68627
2021-06-30,73.63075,57.45286,43.81703
2021-07-01,73.57206,55.66044,64.11421
2021-07-02,73.91371,59.11574,78.97512
2021-07-03,73.47436,62.17838,46.89176
2021-07-04,72.37159,67.61449,46.52483
2021-07-05,73.18806,63.14238,65.9874
2021-07-06,73.72159,58.51984,63.3285
2021-07-07,73.0707,57.22849,34.77761
2021-07-08,72.34172,53.47759,37.85792
2021-07-09,70.31199,46.81789,32.35719
2021-07-10,68.4956,44.55092,31.02301
2021-07-11,65.02282,41.80472,27.30138
2021-07-12,65.77643,42.34056,69.73827
2021-07-13,66.39951,44.32903,77.2478
2021-07-14,67.29485,47.39201,56.21851
2021-07-15,68.32822,56.91399,104.51173
2021-07-16,65.84798,62.34586,70.38033
2021-07-17,63.79959,68.85285,76.57191
2021-07-18,62.06798,69.6035,32.55595
2021-07-19,62.34566,66.86568,50.57355
2021-07-20,60.4385,61.17745,37.43015
2021-07-21,58.95226,60.277,49.9154
2021-07-22,56.44188,58.96005,95.29305
2021-07-23,58.11799,62.01915,91.79404
2021-07-24,57.74118,60.41702,65.35699
2021-07-25,56.78894,59.512,26.22085
2021-07-26,57.91227,60.73764,59.153
2021-07-27,60.26998,66.70525,79.20345
2021-07-28,58.80345,67.18823,53.29626
2021-07-29,56.64449,57.9917,30.9173
2021-07-30,57.88071,56.43597,80.90396
2021-07-31,56.75659,51.44077,30.39053
2021-08-01,55.48059,53.50849,40.69493
2021-08-02,57.64904,61.05027,111.94546
2021-08-03,57.79223,56.99555,50.82043
2021-08-04,58.59239,62.23782,89.99213
2021-08-05,59.8035,72.05846,99.66178
2021-08-06,60.76497,69.58956,63.62166
2021-08-07,61.20005,72.52097,50.91037
2021-08-08,60.74007,69.35852,18.5578
2021-08-09,61.12614,59.45279,42.60537
2021-08-10,63.6618,66.96001,103.37091
2021-08-11,63.73412,64.37657,71.90813
2021-08-12,63.69756,61.01789,76.15098
2021-08-13,65.00005,65.54237,95.29305
2021-08-14,61.88727,59.85924,11.12845
2021-08-15,61.4075,65.20628,55.98706
2021-08-16,63.09518,77.2916,127.20261
2021-08-17,67.26803,85.0588,157.74132
2021-08-18,68.35427,86.66631,83.1607
2021-08-19,68.76138,82.87951,49.64339
2021-08-20,69.38432,79.06671,68.60347
2021-08-21,69.38625,91.09852,95.3511
2021-08-22,68.47348,92.30195,64.41104
2021-08-23,72.62585,101.26272,189.92799
2021-08-24,76.19396,97.76598,133.26422
2021-08-25,75.8064,92.67532,47.52608
2021-08-26,76.97931,101.92496,114.39083
2021-08-27,78.66319,106.95485,103.81266
2021-08-28,81.50903,109.94644,116.29227
2021-08-29,81.53488,112.4134,81.67975
2021-08-30,84.11426,100.67681,107.77189
2021-08-31,89.52484,110.64083,203.01236
2021-09-01,88.46117,115.285,80.03519
2021-09-02,90.30918,114.12357,106.26089
2021-09-03,90.59913,113.39184,98.69049
2021-09-04,89.03848,104.32759,52.84256
2021-09-05,88.60785,99.90228,50.70257
2021-09-06,89.63464,96.17975,81.7142
2021-09-07,92.94205,84.00372,117.78019
2021-09-08,94.36528,84.75615,85.30217
2021-09-09,93.37334,80.09211,73.61262
2021-09-10,93.17444,75.41362,65.94104
2021-09-11,93.61739,80.64173,89.43933
2021-09-12,92.74134,83.25734,69.01183
2021-09-13,95.86783,86.57288,104.92297
2021-09-14,96.32784,79.71674,69.78724
2021-09-15,94.2867,76.9548,65.96863
2021-09-16,92.99946,83.45645,119.12415
2021-09-17,95.29102,95.7374,151.90768
2021-09-18,97.08684,97.7486,103.51774
2021-09-19,96.16663,93.74651,40.99712
2021-09-20,94.98679,87.32265,59.95598
2021-09-21,95.66339,89.45433,84.709
2021-09-22,91.14013,87.77743,54.2303
