,date,indicator,value
638,1995-05-31,Median 1 year,3.0
639,1995-05-31,Median 5 year,3.2
640,1995-04-30,Median 1 year,3.3
641,1995-04-30,Median 5 year,3.5
642,1995-03-31,Median 1 year,3.2
643,1995-03-31,Median 5 year,3.3
644,1995-02-28,Median 1 year,3.0
645,1995-02-28,Median 5 year,3.2
646,1995-01-31,Median 1 year,3.0
647,1995-01-31,Median 5 year,3.2
648,1994-12-31,Median 1 year,3.0
649,1994-12-31,Median 5 year,3.2
650,1994-11-30,Median 1 year,3.2
651,1994-11-30,Median 5 year,3.2
652,1994-10-31,Median 1 year,3.0
653,1994-10-31,Median 5 year,3.3
654,1994-09-30,Median 1 year,3.4
655,1994-09-30,Median 5 year,3.2
656,1994-08-31,Median 1 year,3.1
657,1994-08-31,Median 5 year,3.5
658,1994-07-31,Median 1 year,2.9
659,1994-07-31,Median 5 year,3.2
660,1994-06-30,Median 1 year,2.7
661,1994-06-30,Median 5 year,3.4
662,1994-05-31,Median 1 year,3.1
663,1994-05-31,Median 5 year,3.4
664,1994-04-30,Median 1 year,3.0
665,1994-04-30,Median 5 year,3.2
666,1994-03-31,Median 1 year,3.0
667,1994-03-31,Median 5 year,3.4
668,1994-02-28,Median 1 year,2.8
669,1994-02-28,Median 5 year,3.3
670,1994-01-31,Median 1 year,2.8
671,1994-01-31,Median 5 year,3.2
672,1993-12-31,Median 1 year,3.0
673,1993-12-31,Median 5 year,3.6
674,1993-11-30,Median 1 year,2.8
675,1993-11-30,Median 5 year,3.4
676,1993-10-31,Median 1 year,3.3
677,1993-10-31,Median 5 year,3.5
678,1993-09-30,Median 1 year,3.0
679,1993-09-30,Median 5 year,3.3
680,1993-08-31,Median 1 year,3.2
681,1993-08-31,Median 5 year,3.3
682,1993-07-31,Median 1 year,3.0
683,1993-07-31,Median 5 year,3.5
684,1993-06-30,Median 1 year,3.5
685,1993-06-30,Median 5 year,3.8
686,1993-05-31,Median 1 year,2.9
687,1993-05-31,Median 5 year,3.5
688,1993-04-30,Median 1 year,3.0
689,1993-04-30,Median 5 year,3.5
690,1993-03-31,Median 1 year,3.1
691,1993-03-31,Median 5 year,3.6
692,1993-02-28,Median 1 year,3.2
693,1993-02-28,Median 5 year,4.1
694,1993-01-31,Median 1 year,2.9
695,1993-01-31,Median 5 year,3.4
696,1992-12-31,Median 1 year,2.8
