,Month,Region,Index,Date
327,September 2015,Orkney Islands,101.7,28 September 2015
328,September 2015,Shetland Islands,97.8,28 September 2015
329,September 2015,Angus and Dundee City,100.8,28 September 2015
330,September 2015,Clackmannanshire and Fife,101.5,28 September 2015
331,September 2015,East Lothian and Midlothian,101.1,28 September 2015
332,September 2015,City of Edinburgh,102.0,28 September 2015
333,September 2015,Falkirk,103.3,28 September 2015
334,September 2015,Perth and Kinross and Stirling,102.2,28 September 2015
335,September 2015,West Lothian,103.0,28 September 2015
336,September 2015,"East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond",102.0,28 September 2015
337,September 2015,Glasgow City,103.9,28 September 2015
338,September 2015,"Inverclyde, East Renfrewshire and Renfrewshire",103.2,28 September 2015
339,September 2015,North Lanarkshire,103.9,28 September 2015
340,September 2015,Scottish Borders,103.3,28 September 2015
341,September 2015,Dumfries and Galloway,104.2,28 September 2015
342,September 2015,East Ayrshire and North Ayrshire mainland,102.7,28 September 2015
343,September 2015,South Ayrshire,102.8,28 September 2015
344,September 2015,South Lanarkshire,103.3,28 September 2015
345,October 2015,Aberdeen City and Aberdeenshire,95.1,28 October 2015
346,October 2015,Caithness and Sutherland and Ross and Cromarty,100.7,28 October 2015
347,October 2015,"Inverness and Nairn and Moray, Badenoch and Strathspey",101.8,28 October 2015
348,October 2015,"Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute",101.3,28 October 2015
349,October 2015,Na h-Eileanan Siar,100.7,28 October 2015
350,October 2015,Orkney Islands,103.0,28 October 2015
351,October 2015,Shetland Islands,97.2,28 October 2015
352,October 2015,Angus and Dundee City,100.7,28 October 2015
353,October 2015,Clackmannanshire and Fife,101.6,28 October 2015
354,October 2015,East Lothian and Midlothian,103.3,28 October 2015
355,October 2015,City of Edinburgh,102.0,28 October 2015
356,October 2015,Falkirk,103.0,28 October 2015
357,October 2015,Perth and Kinross and Stirling,102.8,28 October 2015
358,October 2015,West Lothian,103.4,28 October 2015
359,October 2015,"East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond",102.4,28 October 2015
360,October 2015,Glasgow City,104.7,28 October 2015
361,October 2015,"Inverclyde, East Renfrewshire and Renfrewshire",103.7,28 October 2015
362,October 2015,North Lanarkshire,105.0,28 October 2015
363,October 2015,Scottish Borders,103.0,28 October 2015
364,October 2015,Dumfries and Galloway,103.9,28 October 2015
365,October 2015,East Ayrshire and North Ayrshire mainland,102.9,28 October 2015
366,October 2015,South Ayrshire,103.0,28 October 2015
367,October 2015,South Lanarkshire,104.2,28 October 2015
368,November 2015,Aberdeen City and Aberdeenshire,94.9,28 November 2015
369,November 2015,Caithness and Sutherland and Ross and Cromarty,102.1,28 November 2015
370,November 2015,"Inverness and Nairn and Moray, Badenoch and Strathspey",102.8,28 November 2015
371,November 2015,"Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute",103.1,28 November 2015
372,November 2015,Na h-Eileanan Siar,101.9,28 November 2015
373,November 2015,Orkney Islands,104.1,28 November 2015
374,November 2015,Shetland Islands,98.3,28 November 2015
375,November 2015,Angus and Dundee City,102.3,28 November 2015
376,November 2015,Clackmannanshire and Fife,102.7,28 November 2015
377,November 2015,East Lothian and Midlothian,103.4,28 November 2015
378,November 2015,City of Edinburgh,103.2,28 November 2015
379,November 2015,Falkirk,104.0,28 November 2015
380,November 2015,Perth and Kinross and Stirling,104.1,28 November 2015
381,November 2015,West Lothian,104.7,28 November 2015
382,November 2015,"East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond",103.2,28 November 2015
383,November 2015,Glasgow City,105.8,28 November 2015
384,November 2015,"Inverclyde, East Renfrewshire and Renfrewshire",104.6,28 November 2015
385,November 2015,North Lanarkshire,105.8,28 November 2015
386,November 2015,Scottish Borders,103.3,28 November 2015
387,November 2015,Dumfries and Galloway,104.0,28 November 2015
388,November 2015,East Ayrshire and North Ayrshire mainland,104.1,28 November 2015
389,November 2015,South Ayrshire,104.8,28 November 2015
390,November 2015,South Lanarkshire,104.2,28 November 2015
391,December 2015,Aberdeen City and Aberdeenshire,94.1,28 December 2015
392,December 2015,Caithness and Sutherland and Ross and Cromarty,101.3,28 December 2015
393,December 2015,"Inverness and Nairn and Moray, Badenoch and Strathspey",101.7,28 December 2015
394,December 2015,"Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute",102.4,28 December 2015
395,December 2015,Na h-Eileanan Siar,100.8,28 December 2015
396,December 2015,Orkney Islands,102.7,28 December 2015
397,December 2015,Shetland Islands,93.9,28 December 2015
398,December 2015,Angus and Dundee City,101.3,28 December 2015
399,December 2015,Clackmannanshire and Fife,102.8,28 December 2015
400,December 2015,East Lothian and Midlothian,102.4,28 December 2015
401,December 2015,City of Edinburgh,103.5,28 December 2015
402,December 2015,Falkirk,103.8,28 December 2015
403,December 2015,Perth and Kinross and Stirling,104.1,28 December 2015
404,December 2015,West Lothian,104.9,28 December 2015
405,December 2015,"East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond",103.4,28 December 2015
406,December 2015,Glasgow City,105.8,28 December 2015
407,December 2015,"Inverclyde, East Renfrewshire and Renfrewshire",104.3,28 December 2015
408,December 2015,North Lanarkshire,105.3,28 December 2015
409,December 2015,Scottish Borders,103.8,28 December 2015
410,December 2015,Dumfries and Galloway,104.1,28 December 2015
411,December 2015,East Ayrshire and North Ayrshire mainland,103.4,28 December 2015
412,December 2015,South Ayrshire,103.7,28 December 2015
413,December 2015,South Lanarkshire,104.1,28 December 2015
414,January 2016,Aberdeen City and Aberdeenshire,93.0,28 January 2016
415,January 2016,Caithness and Sutherland and Ross and Cromarty,101.5,28 January 2016
416,January 2016,"Inverness and Nairn and Moray, Badenoch and Strathspey",102.3,28 January 2016
417,January 2016,"Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute",101.8,28 January 2016
418,January 2016,Na h-Eileanan Siar,101.0,28 January 2016
419,January 2016,Orkney Islands,104.2,28 January 2016
420,January 2016,Shetland Islands,96.0,28 January 2016
421,January 2016,Angus and Dundee City,101.2,28 January 2016
422,January 2016,Clackmannanshire and Fife,102.6,28 January 2016
423,January 2016,East Lothian and Midlothian,101.1,28 January 2016
424,January 2016,City of Edinburgh,102.8,28 January 2016
425,January 2016,Falkirk,103.7,28 January 2016
426,January 2016,Perth and Kinross and Stirling,103.5,28 January 2016
427,January 2016,West Lothian,104.9,28 January 2016
428,January 2016,"East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond",104.0,28 January 2016
