prod,prodname,rst4submarket,NPM,pricepercal,npacks
3,"Fresh vegetables","Parsnips",-8,.10246892,82
3,"Fresh vegetables","Parsnips",-7,.3615495,51
3,"Fresh vegetables","Parsnips",-6,1.9366457,75
3,"Fresh vegetables","Passata",-8,.68535744,261
3,"Fresh vegetables","Passata",-7,.3537742,5695
3,"Fresh vegetables","Passata",-6,.50763363,7273
3,"Fresh vegetables","Passata",-5,.43776142,37057
3,"Fresh vegetables","Passata",-4,.52583961,25765
3,"Fresh vegetables","Passata",-2,.49430874,1157
3,"Fresh vegetables","Pastes/Puree",-9,.71586232,427
3,"Fresh vegetables","Pastes/Puree",-8,.30636059,1172
3,"Fresh vegetables","Pastes/Puree",-7,.56187328,244
3,"Fresh vegetables","Pastes/Puree",-6,.43105585,7905
3,"Fresh vegetables","Pastes/Puree",-5,.75320916,18622
3,"Fresh vegetables","Pastes/Puree",-4,.31228298,11090
3,"Fresh vegetables","Pastes/Puree",-3,.36953047,14924
3,"Fresh vegetables","Pastes/Puree",-2,.5690839,372
3,"Fresh vegetables","Pastes/Puree",0,.1938149,2517
3,"Fresh vegetables","Pastes/Puree",2,.24479804,26
3,"Fresh vegetables","Pastes/Puree",3,.49106318,24
3,"Fresh vegetables","Pastes/Puree",4,.14216336,213
3,"Fresh vegetables","Pastes/Puree",5,.24010637,413
3,"Fresh vegetables","Pastes/Puree",6,.35596184,331
3,"Fresh vegetables","Pastes/Puree",7,.3026615,259
3,"Fresh vegetables","Pastes/Puree",8,.28527208,146
3,"Fresh vegetables","Pastes/Puree",9,.40273053,316
3,"Fresh vegetables","Pastes/Puree",11,.33690868,42
3,"Fresh vegetables","Peas",-12,.440608,1585
3,"Fresh vegetables","Peas",-10,.98206449,12939
3,"Fresh vegetables","Peas",-9,1.8786925,10610
3,"Fresh vegetables","Peas",-8,2.0406758,10909
3,"Fresh vegetables","Peas",-7,1.7039834,4319
3,"Fresh vegetables","Peas",-5,.88554632,4825
