pre_tax,tax,earning,amount
55300,17357.75,after_childcare,28033.85
55400,17414.75,before_childcare,40236.85
55400,17414.75,after_childcare,28076.85
55500,17471.75,before_childcare,40279.85
55500,17471.75,after_childcare,28119.85
55600,17528.75,before_childcare,40322.85
55600,17528.75,after_childcare,28162.85
55700,17585.75,before_childcare,40365.85
55700,17585.75,after_childcare,28205.85
55800,17642.75,before_childcare,40408.85
55800,17642.75,after_childcare,28248.85
55900,17699.75,before_childcare,40451.85
55900,17699.75,after_childcare,28291.85
56000,17756.75,before_childcare,40494.85
56000,17756.75,after_childcare,28334.85
56100,17813.75,before_childcare,40537.85
56100,17813.75,after_childcare,28377.85
56200,17870.75,before_childcare,40580.85
56200,17870.75,after_childcare,28420.85
56300,17927.75,before_childcare,40623.85
56300,17927.75,after_childcare,28463.85
56400,17984.75,before_childcare,40666.85
56400,17984.75,after_childcare,28506.85
56500,18041.75,before_childcare,40709.85
56500,18041.75,after_childcare,28549.85
56600,18098.75,before_childcare,40752.85
56600,18098.75,after_childcare,28592.85
56700,18155.75,before_childcare,40795.85
56700,18155.75,after_childcare,28635.85
56800,18212.75,before_childcare,40838.85
56800,18212.75,after_childcare,28678.85
56900,18269.75,before_childcare,40881.85
56900,18269.75,after_childcare,28721.85
57000,18326.75,before_childcare,40924.85
57000,18326.75,after_childcare,28764.85
57100,18383.75,before_childcare,40967.85
57100,18383.75,after_childcare,28807.85
57200,18440.75,before_childcare,41010.85
57200,18440.75,after_childcare,28850.85
57300,18497.75,before_childcare,41053.85
57300,18497.75,after_childcare,28893.85
57400,18554.75,before_childcare,41096.85
57400,18554.75,after_childcare,28936.85
57500,18611.75,before_childcare,41139.85
57500,18611.75,after_childcare,28979.85
57600,18668.75,before_childcare,41182.85
57600,18668.75,after_childcare,29022.85
57700,18725.75,before_childcare,41225.85
57700,18725.75,after_childcare,29065.85
57800,18782.75,before_childcare,41268.85
57800,18782.75,after_childcare,29108.85
57900,18839.75,before_childcare,41311.85
57900,18839.75,after_childcare,29151.85
58000,18896.75,before_childcare,41354.85
58000,18896.75,after_childcare,29194.85
58100,18953.75,before_childcare,41397.85
58100,18953.75,after_childcare,29237.85
58200,19010.75,before_childcare,41440.85
58200,19010.75,after_childcare,29280.85
58300,19067.75,before_childcare,41483.85
58300,19067.75,after_childcare,29323.85
58400,19124.75,before_childcare,41526.85
58400,19124.75,after_childcare,29366.85
58500,19181.75,before_childcare,41569.85
58500,19181.75,after_childcare,29409.85
58600,19238.75,before_childcare,41612.85
58600,19238.75,after_childcare,29452.85
58700,19295.75,before_childcare,41655.85
58700,19295.75,after_childcare,29495.85
58800,19352.75,before_childcare,41698.85
58800,19352.75,after_childcare,29538.85
58900,19409.75,before_childcare,41741.85
58900,19409.75,after_childcare,29581.85
59000,19466.75,before_childcare,41784.85
59000,19466.75,after_childcare,29624.85
59100,19523.75,before_childcare,41827.85
59100,19523.75,after_childcare,29667.85
59200,19580.75,before_childcare,41870.85
59200,19580.75,after_childcare,29710.85
59300,19637.75,before_childcare,41913.85
59300,19637.75,after_childcare,29753.85
59400,19694.75,before_childcare,41956.85
59400,19694.75,after_childcare,29796.85
59500,19751.75,before_childcare,41999.85
59500,19751.75,after_childcare,29839.85
59600,19808.75,before_childcare,42042.85
59600,19808.75,after_childcare,29882.85
59700,19865.75,before_childcare,42085.85
59700,19865.75,after_childcare,29925.85
59800,19922.75,before_childcare,42128.85
59800,19922.75,after_childcare,29968.85
59900,19979.75,before_childcare,42171.85
59900,19979.75,after_childcare,30011.85
60000,20036.75,before_childcare,42214.85
60000,20036.75,after_childcare,30054.85
60100,20093.75,before_childcare,42246.592
60100,20093.75,after_childcare,30086.591999999997
60200,20150.75,before_childcare,42278.333999999995
60200,20150.75,after_childcare,30118.333999999995
60300,20207.75,before_childcare,42310.076
60300,20207.75,after_childcare,30150.076
60400,20264.75,before_childcare,42341.818
60400,20264.75,after_childcare,30181.818
60500,20321.75,before_childcare,42373.56
60500,20321.75,after_childcare,30213.56
60600,20378.75,before_childcare,42405.302
60600,20378.75,after_childcare,30245.301999999996
60700,20435.75,before_childcare,42437.044
60700,20435.75,after_childcare,30277.044
60800,20492.75,before_childcare,42468.786
60800,20492.75,after_childcare,30308.786
60900,20549.75,before_childcare,42500.528
60900,20549.75,after_childcare,30340.528
61000,20606.75,before_childcare,42532.27
61000,20606.75,after_childcare,30372.269999999997
61100,20663.75,before_childcare,42564.011999999995
61100,20663.75,after_childcare,30404.011999999995
61200,20720.75,before_childcare,42595.754
61200,20720.75,after_childcare,30435.754
61300,20777.75,before_childcare,42627.496
61300,20777.75,after_childcare,30467.496
61400,20834.75,before_childcare,42659.238
61400,20834.75,after_childcare,30499.238
61500,20891.75,before_childcare,42690.98
61500,20891.75,after_childcare,30530.979999999996
61600,20948.75,before_childcare,42722.722
61600,20948.75,after_childcare,30562.722
61700,21005.75,before_childcare,42754.464
61700,21005.75,after_childcare,30594.464
61800,21062.75,before_childcare,42786.206
61800,21062.75,after_childcare,30626.206
61900,21119.75,before_childcare,42817.948
61900,21119.75,after_childcare,30657.947999999997
62000,21176.75,before_childcare,42849.689999999995
62000,21176.75,after_childcare,30689.689999999995
62100,21233.75,before_childcare,42881.432
62100,21233.75,after_childcare,30721.432
62200,21290.75,before_childcare,42913.174
62200,21290.75,after_childcare,30753.174
62300,21347.75,before_childcare,42944.916
62300,21347.75,after_childcare,30784.915999999997
62400,21404.75,before_childcare,42976.658
62400,21404.75,after_childcare,30816.657999999996
62500,21461.75,before_childcare,43008.4
62500,21461.75,after_childcare,30848.4
62600,21518.75,before_childcare,43040.142
62600,21518.75,after_childcare,30880.142
62700,21575.75,before_childcare,43071.884
62700,21575.75,after_childcare,30911.884
62800,21632.75,before_childcare,43103.626
62800,21632.75,after_childcare,30943.625999999997
62900,21689.75,before_childcare,43135.368
62900,21689.75,after_childcare,30975.368
63000,21746.75,before_childcare,43167.11
63000,21746.75,after_childcare,31007.11
63100,21803.75,before_childcare,43198.852
63100,21803.75,after_childcare,31038.852
63200,21860.75,before_childcare,43230.594
63200,21860.75,after_childcare,31070.593999999997
63300,21917.75,before_childcare,43262.336
63300,21917.75,after_childcare,31102.335999999996
63400,21974.75,before_childcare,43294.078
63400,21974.75,after_childcare,31134.078
63500,22031.75,before_childcare,43325.82
63500,22031.75,after_childcare,31165.82
63600,22088.75,before_childcare,43357.562
63600,22088.75,after_childcare,31197.562
63700,22145.75,before_childcare,43389.304
63700,22145.75,after_childcare,31229.303999999996
63800,22202.75,before_childcare,43421.046
63800,22202.75,after_childcare,31261.046
63900,22259.75,before_childcare,43452.788
63900,22259.75,after_childcare,31292.788
64000,22316.75,before_childcare,43484.53
64000,22316.75,after_childcare,31324.53
64100,22373.75,before_childcare,43516.272
64100,22373.75,after_childcare,31356.271999999997
64200,22430.75,before_childcare,43548.014
64200,22430.75,after_childcare,31388.013999999996
64300,22487.75,before_childcare,43579.756
64300,22487.75,after_childcare,31419.756
64400,22544.75,before_childcare,43611.498
64400,22544.75,after_childcare,31451.498
64500,22601.75,before_childcare,43643.24
64500,22601.75,after_childcare,31483.24
64600,22658.75,before_childcare,43674.982
64600,22658.75,after_childcare,31514.981999999996
64700,22715.75,before_childcare,43706.724
64700,22715.75,after_childcare,31546.724
64800,22772.75,before_childcare,43738.466
64800,22772.75,after_childcare,31578.466
64900,22829.75,before_childcare,43770.208
64900,22829.75,after_childcare,31610.208
65000,22886.75,before_childcare,43801.95
65000,22886.75,after_childcare,31641.949999999997
65100,22943.75,before_childcare,43833.691999999995
